Curso,Rama,Categoria,Estilo,Distancia,Tiempo
Corto,Femenil,11-12,Dorso,100,1:18.40
Corto,Femenil,13-14,Dorso,100,1:14.80
Corto,Femenil,15-16,Dorso,100,1:14.79
Corto,Femenil,17 & May,Dorso,100,1:13.38
Corto,Femenil,11-12,Dorso,200,2:47.74
Corto,Femenil,13-14,Dorso,200,2:46.85
Corto,Femenil,15-16,Dorso,200,2:44.88
Corto,Femenil,17 & May,Dorso,200,2:40.61
Corto,Femenil,11-12,Pecho,50,0:41.69
Corto,Femenil,13-14,Pecho,50,0:40.70
Corto,Femenil,15-16,Pecho,50,0:39.18
Corto,Femenil,17 & May,Pecho,50,0:37.11
Corto,Femenil,11-12,Pecho,100,1:28.75
Corto,Femenil,13-14,Pecho,100,1:27.52
Corto,Femenil,15-16,Pecho,100,1:25.26
Corto,Femenil,17 & May,Pecho,100,1:22.89
Corto,Femenil,11-12,Pecho,200,3:12.10
Corto,Femenil,13-14,Pecho,200,3:03.72
Corto,Femenil,15-16,Pecho,200,3:01.59
Corto,Femenil,17 & May,Pecho,200,2:59.08
Corto,Femenil,11-12,Mariposa,50,0:31.91
Corto,Femenil,13-14,Mariposa,50,0:31.53
Corto,Femenil,15-16,Mariposa,50,0:31.33
Corto,Femenil,17 & May,Mariposa,50,0:31.09
Corto,Femenil,11-12,Mariposa,100,1:14.12
Corto,Femenil,13-14,Mariposa,100,1:13.71
Corto,Femenil,15-16,Mariposa,100,1:12.56
Corto,Femenil,17 & May,Mariposa,100,1:10.24
Corto,Femenil,11-12,Mariposa,200,2:59.85
Corto,Femenil,13-14,Mariposa,200,2:44.02
Corto,Femenil,15-16,Mariposa,200,2:38.69
Corto,Femenil,17 & May,Mariposa,200,2:35.06
Corto,Femenil,11-12,C. Ind,200,2:42.68
Corto,Femenil,13-14,C. Ind,200,2:41.27
Corto,Femenil,15-16,C. Ind,200,2:38.59
Corto,Femenil,17 & May,C. Ind,200,2:35.85
Corto,Femenil,11-12,C. Ind,400,5:44.56
Corto,Femenil,13-14,C. Ind,400,5:22.38
Corto,Femenil,15-16,C. Ind,400,5:24.38
Corto,Femenil,17 & May,C. Ind,400,5:21.54
Corto,Varonil,11-12,Libre,50,0:29.02
Corto,Varonil,13-14,Libre,50,0:27.10
Corto,Varonil,15-16,Libre,50,0:26.78
Corto,Varonil,17 & May,Libre,50,0:25.25
Corto,Varonil,11-12,Libre,100,1:02.85
Corto,Varonil,13-14,Libre,100,0:58.27
Corto,Varonil,15-16,Libre,100,0:57.34
Corto,Varonil,17 & May,Libre,100,0:55.04
Corto,Varonil,11-12,Libre,200,2:20.45
Corto,Varonil,13-14,Libre,200,2:07.94
Corto,Varonil,15-16,Libre,200,2:03.00
Corto,Varonil,17 & May,Libre,200,1:57.72
Corto,Varonil,11-12,Libre,400,4:55.80
Corto,Varonil,13-14,Libre,400,4:32.00
Corto,Varonil,15-16,Libre,400,4:19.19
Corto,Varonil,17 & May,Libre,400,4:16.34
Corto,Varonil,11-12,Libre,800,9:57.94
Corto,Varonil,13-14,Libre,800,9:26.48
Corto,Varonil,15-16,Libre,800,9:05.07
Corto,Varonil,17 & May,Libre,800,8:46.94
Corto,Varonil,13-14,Libre,1500,17:32.24
Corto,Varonil,15-16,Libre,1500,17:13.83
Corto,Varonil,17 & May,Libre,1500,16:45.86
Corto,Varonil,11-12,Dorso,50,0:34.31
Corto,Varonil,13-14,Dorso,50,0:31.86
Corto,Varonil,15-16,Dorso,50,0:30.93
Corto,Varonil,17 & May,Dorso,50,0:30.05
Corto,Varonil,11-12,Dorso,100,1:15.46
Corto,Varonil,13-14,Dorso,100,1:06.61
Corto,Varonil,15-16,Dorso,100,1:04.87
Corto,Varonil,17 & May,Dorso,100,1:03.02
Corto,Varonil,11-12,Dorso,200,2:38.51
Corto,Varonil,13-14,Dorso,200,2:28.94
Corto,Varonil,15-16,Dorso,200,2:14.44
Corto,Varonil,17 & May,Dorso,200,2:12.36
Corto,Varonil,11-12,Pecho,50,0:38.36
Corto,Varonil,13-14,Pecho,50,0:34.05
Corto,Varonil,15-16,Pecho,50,0:32.29
Corto,Varonil,17 & May,Pecho,50,0:31.85
Corto,Varonil,11-12,Pecho,100,1:23.61
Corto,Varonil,13-14,Pecho,100,1:13.38
Corto,Varonil,15-16,Pecho,100,1:12.16
Corto,Varonil,17 & May,Pecho,100,1:11.57
Corto,Varonil,11-12,Pecho,200,3:00.67
Corto,Varonil,13-14,Pecho,200,2:48.46
Corto,Varonil,15-16,Pecho,200,2:40.62
Corto,Varonil,17 & May,Pecho,200,2:37.73
Corto,Varonil,11-12,Mariposa,50,0:31.13
Corto,Varonil,13-14,Mariposa,50,0:29.31
Corto,Varonil,15-16,Mariposa,50,0:28.43
Corto,Varonil,17 & May,Mariposa,50,0:27.83
Corto,Varonil,11-12,Mariposa,100,1:12.99
Corto,Varonil,13-14,Mariposa,100,1:07.20
Corto,Varonil,15-16,Mariposa,100,1:01.11
Corto,Varonil,17 & May,Mariposa,100,0:59.90
Corto,Varonil,11-12,Mariposa,200,2:41.98
Corto,Varonil,13-14,Mariposa,200,2:33.76
Corto,Varonil,15-16,Mariposa,200,2:23.48
Corto,Varonil,17 & May,Mariposa,200,2:19.90
Corto,Varonil,11-12,C. Ind,200,2:37.77
Corto,Varonil,13-14,C. Ind,200,2:28.16
Corto,Varonil,15-16,C. Ind,200,2:22.97
Corto,Varonil,17 & May,C. Ind,200,2:21.02
Corto,Varonil,13-14,C. Ind,400,5:03.72
Corto,Varonil,15-16,C. Ind,400,4:55.82
Corto,Varonil,17 & May,C. Ind,400,4:53.16
